Protein,Attention Weight
AKT,0.5038167938931297
EGFR,0.4961832061068702
MTOR,0.48854961832061067
P53,0.48091603053435117
PTEN,0.4580152671755725
NOTCH1,0.45038167938931295
ERK2,0.4198473282442748
HSP70,0.4122137404580153
CDK1,0.40458015267175573
CHK1,0.3969465648854962
BCLXL,0.3969465648854962
SRC,0.3816793893129771
ATM,0.3816793893129771
TUBERIN,0.3816793893129771
FOXO3A,0.3816793893129771
HER2,0.3816793893129771
SMAD4,0.35877862595419846
LKB1,0.3435114503816794
AR,0.33587786259541985
MEK1,0.3282442748091603
BIM,0.3282442748091603
LCK,0.31297709923664124
JNK2,0.31297709923664124
BECLIN,0.29770992366412213
RAD51,0.29770992366412213
GATA3,0.29770992366412213
FIBRONECTIN,0.29770992366412213
CD31,0.29770992366412213
53BP1,0.2900763358778626
PAXILLIN,0.2748091603053435
MRE11,0.26717557251908397
VEGFR2,0.26717557251908397
EIF4E,0.25190839694656486
IRS1,0.25190839694656486
STATHMIN,0.24427480916030533
KU80,0.2366412213740458
NF2,0.2366412213740458
4EBP1,0.22900763358778625
SMAD3,0.22900763358778625
CRAF,0.22137404580152673
HER3,0.20610687022900764
PKCALPHA,0.20610687022900764
CHK2,0.1984732824427481
BAK,0.183206106870229
PAI1,0.16793893129770993
BCL2,0.16030534351145037
EEF2,0.15267175572519084
PCNA,0.15267175572519084
BID,0.15267175572519084
EEF2K,0.1450381679389313
SYK,0.1450381679389313
CD49B,0.13740458015267176
XRCC1,0.1297709923664122
RAD50,0.12213740458015267
DJ1,0.10687022900763359
YB1,0.09923664122137404
S6,0.0916030534351145
BAK,0.0916030534351145
ACC1,0.08396946564885496
SMAD1,0.08396946564885496
GAB2,0.06870229007633588
DVL3,0.06870229007633588
PEA15,0.061068702290076333
IGFBP2,0.05343511450381679
MIG6,0.05343511450381679
INPP4B,0.030534351145038167
ASNS,0.022900763358778626
P38MAPK,0.015267175572519083
P27,0.015267175572519083
RBPS807S811,0.007633587786259542
